EXP_no,Treatment1,Treatment2,Sample_Name,Experiment_Day,O2,DIC,DI_13C,ALK,temp_out,pressure_out,pH_out,H_out,fCO2_out,pCO2_out,HCO3,CO3,CO2,B_Alk,OH-out,P_Alk,Si_Alk,Revelle_out,ar_omega,dry_CO2,ER_pH_out,ER_H_out,ER_fCO2_out,ER_pCO2_out,ER_HCO3,ER_CO3,ER_CO2,ER_B_Alk,ER_OH-out,ER_P_Alk,ER_Si_Alk,ER_Revelle_out,ER_ar_omega,ER_dry_CO2
EXP1,Light,Control,1-CON-D0-1,0,230.158,2047,0.64,2255.9,19,0,7.951,11.2,505.2,506.9158912,1877.3,152.9,16.8,69.7,3.2,0,0,11.466,2.37,517.9,0.02,5.18E-01,27.0535,27.1467,11.4165,5.2608,0.8992,3.0715,0.1928,0,0,0.2091,0.1341,27.7364
EXP1,Light,Control,1-CON-D0-2,0,192.493,2041,0.57,2254.6,19,0,7.961,10.9,491.6,493.272816,1868.9,155.7,16.4,71,3.2,0,0,11.337,2.41,504,0.017,4.38E-01,22.7292,22.8075,8.847,4.404,0.7547,2.7985,0.1822,0,0,0.16,0.1281,23.3029
EXP1,Light,Control,1-CON-D0-3,0,202.276,2048,0.47,2257.2,19,0,7.952,11.2,504.9,506.5961086,1878,153.1,16.8,69.7,3.2,0,0,11.462,2.37,517.6,0.018,4.75E-01,23.7455,23.8273,4.8914,5.0921,0.7886,2.8807,0.184,0,0,0.1737,0.1326,24.3449
EXP1,Light,Control,1-CON-D2-1,2,203.899,2039,0.62,2255.5,19,0,7.967,10.8,484.1,485.764953,1865.3,157.5,16.1,71.8,3.3,0,0,11.263,2.44,496.3,0.013,0.33347066,17.087,17.1458,3.363,2.9418,0.5659,2.3758,0.1646,0,0,0.0716,0.1188,17.5182
EXP1,Light,Control,1-CON-D2-2,2,241.173,2019,0.81,2259.8,19,0,8.015,9.7,426,427.4812011,1832.1,172.7,14.2,78.6,3.7,0,0,10.68,2.68,436.8,0.013,2.95E-01,14.8936,14.9449,3.3009,2.9446,0.4932,2.538,0.1827,0,0,0.0516,0.1286,15.2695
EXP1,Light,Control,1-CON-D2-3,2,210.333,2046,0.44,2257.6,19,0,7.957,11.1,498.3,500.0106782,1874.8,154.6,16.6,70.4,3.2,0,0,11.399,2.4,510.9,0.013,3.39E-01,17.4375,17.4975,3.1604,2.8762,0.5775,2.3267,0.1602,0,0,0.0719,0.1165,17.8776
EXP1,Light,Control,1-CON-D4-1,4,217.712,1996,0.96,2214.6,19,0,7.977,10.5,462.6,464.1768528,1823.1,157.5,15.4,73.2,3.4,0,0,11.085,2.44,474.3,0.014,0.352010427,17.6011,17.6618,4.5118,3.4298,0.5834,2.5237,0.1735,0,0,0.0958,0.1219,18.0454
EXP1,Light,Control,1-CON-D4-2,4,229.453,2015,0.87,2253,19,0,8.01,9.8,429.9,431.3990559,1829.9,170.7,14.3,78,3.6,0,0,10.725,2.64,440.8,0.017,0.382556601,19.5358,19.6031,8.8975,4.5144,0.6486,2.9683,0.2016,0,0,0.1382,0.1379,20.0289
EXP1,Light,Control,1-CON-D4-3,4,227.49,2023,1.02,2253,19,0,7.995,10.1,448.8,450.3054946,1842.3,165.8,15,75.7,3.5,0,0,10.916,2.57,460.1,0.032,7.52E-01,39.1917,39.3267,22.9835,9.6286,1.3048,4.8911,0.2944,0,0,0.3654,0.1886,40.1809
EXP1,Light,NaOH,1-NAOH-D0-1,0,198.786,2039,113.57,2773,19,0,8.585,2.6,94.4,94.72888904,1507.9,528,3.1,195.6,13.6,0,0,7.234,8.18,96.8,0.016,9.79E-02,4.198,4.2125,12.2699,7.2412,0.1394,5.4878,0.7372,0,0,0.0265,0.3844,4.304
EXP1,Light,NaOH,1-NAOH-D0-2,0,221.508,2034,117.17,2773.2,19,0,8.59,2.6,92.7,93.01642786,1499.3,531.6,3.1,196.9,13.8,0,0,7.223,8.23,95,0.016,9.64E-02,4.0664,4.0804,11.1702,7.5397,0.135,5.4971,0.7454,0,0,0.0257,0.3882,4.169
EXP1,Light,NaOH,1-NAOH-D0-3,0,nan,2039,115.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
EXP1,Light,NaOH,1-NAOH-D2-1,2,220.057,2028,112.26,2729.1,19,0,8.559,2.8,101.1,101.456029,1522.3,502.4,3.4,189.2,12.8,0,0,7.266,7.78,103.7,0.016,9.89E-02,4.0997,4.1138,7.1425,6.9794,0.136,5.2518,0.6795,0,0,0.0237,0.3662,4.2032
EXP1,Light,NaOH,1-NAOH-D2-2,2,220.606,2025,105.85,2796.2,19,0,8.618,2.4,84.9,85.22177249,1466.8,555.3,2.8,204,14.7,0,0,7.187,8.6,87.1,0.015,8.28E-02,3.2602,3.2714,6.0899,5.8646,0.1081,5.3549,0.7644,0,0,0.0237,0.3973,3.3425
EXP1,Light,NaOH,1-NAOH-D2-3,2,230.279,1975,114.29,2677.9,19,0,8.572,2.7,94.8,95.17586303,1471.5,500.4,3.2,192.4,13.2,0,0,7.205,7.75,97.2,0.015,9.43E-02,3.819,3.8322,8.3471,6.1353,0.1267,5.2323,0.6941,0,0,0.0244,0.3612,3.9154
EXP1,Light,NaOH,1-NAOH-D4-1,4,246.851,2018,114.51,2758.1,19,0,8.594,2.5,90.8,91.15210093,1483.7,531.2,3,198,13.9,0,0,7.207,8.23,93.1,0.015,8.70E-02,3.4672,3.4791,5.8147,5.7278,0.1149,5.2531,0.7215,0,0,0.0231,0.3805,3.5547
EXP1,Light,NaOH,1-NAOH-D4-3,4,213.163,2022,116.09,2740.6,19,0,8.575,2.7,96.2,96.51652623,1503.6,515.2,3.2,193.3,13.3,0,0,7.235,7.98,98.6,0.015,9.07E-02,3.663,3.6756,5.693,5.6454,0.1214,5.1784,0.6899,0,0,0.0225,0.3693,3.7554
EXP5,Light,Control,5-CON-D0-1,0,277.162,2094.288785,119.7911955,2250.69,18,0,7.849,14.1,659.9,662.1603622,1950.6,121.1,22.6,55.7,2.3,0,0,13.084,1.87,675.7,0.017,5.62E-01,29.6787,29.7822,7.2287,3.6889,1.0139,2.2844,0.1343,0,0,0.1936,0.1013,30.389
EXP5,Light,Control,5-CON-D0-2,0,289.824,2088.027188,113.2195421,2252.46,18,0,7.868,13.5,628.7,630.8506102,1940.7,125.8,21.6,57.8,2.4,0,0,12.819,1.94,643.7,0.046,1.44E+00,75.835,76.0996,27.4623,11.2954,2.5989,5.4566,0.2729,0,0,0.6322,0.1949,77.65
EXP5,Light,Control,5-CON-D0-3,0,282.789,2087.497934,118.8722947,2252.36,18,0,7.869,13.5,627,629.143404,1939.9,126.1,21.5,57.9,2.4,0,0,12.805,1.95,642,0.044,1.37E+00,72.1215,72.3732,26.1216,10.7683,2.4715,5.2254,0.2627,0,0,0.6006,0.1877,73.8477
EXP5,Light,Control,5-CON-D2-1,2,nan,2095.684704,111.48239,2248.06,18,0,7.84,14.5,675.5,677.8290249,1953.8,118.7,23.2,54.6,2.2,0,0,13.215,1.83,691.6,0.034,1.12E+00,59.2743,59.4811,18.5106,7.7794,2.0305,3.8952,0.1985,0,0,0.4577,0.1455,60.693
EXP5,Light,Control,5-CON-D2-2,2,315.148,2088.10401,106.7410212,2246.61,18,0,7.855,14,649.3,651.5480712,1943.7,122.2,22.3,56.3,2.3,0,0,13,1.89,664.8,0.035,1.12E+00,58.37,58.5736,18.6,8.2894,1.9996,4.0987,0.2099,0,0,0.4663,0.1534,59.767
EXP5,Light,Control,5-CON-D2-3,2,298.265,2086.819107,120.5193801,2248.78,18,0,7.863,13.7,636.6,638.7869181,1940.7,124.3,21.8,57.2,2.4,0,0,12.891,1.92,651.8,0.034,1.06E+00,56.0776,56.2733,19.1881,8.0582,1.921,4.0458,0.2091,0,0,0.4514,0.1512,57.4198
EXP5,Light,Control,5-CON-D4-1,4,323.59,2056.59276,112.4522445,2214.43,18,0,7.857,13.9,636.5,638.7545872,1913.9,120.8,21.8,56.5,2.3,0,0,12.925,1.87,651.8,0.033,1.07E+00,55.4622,55.6557,18.5446,7.7793,1.8998,3.9663,0.2046,0,0,0.447,0.1463,56.7896
EXP5,Light,Control,5-CON-D4-2,4,310.928,2063.545943,109.8498232,2245.27,18,0,7.909,12.3,563.2,565.1971181,1908.4,135.8,19.3,62.6,2.6,0,0,12.243,2.1,576.7,0.031,8.88E-01,46.4962,46.6584,18.8584,7.9655,1.5925,4.0821,0.2197,0,0,0.3989,0.1548,47.609
EXP5,Light,Control,5-CON-D4-3,4,330.624,2050.020006,105.0643863,2223.54,18,0,7.893,12.8,581.8,583.830642,1899.8,130.3,19.9,60.7,2.5,0,0,12.435,2.01,595.7,0.033,9.63E-01,50.0392,50.2138,19.2266,8.0761,1.714,4.1343,0.2188,0,0,0.4254,0.1539,51.2369
EXP5,Light,NaOH,5-OH-D0-1,0,274.348,2090.845482,124.1676168,2777.07,18,0,8.549,2.8,107.7,108.0420825,1592.5,494.7,3.7,183.8,11.4,0,0,7.37,7.64,110.2,0.021,1.37E-01,6.6012,6.6243,22.9493,11.0982,0.2259,6.2467,0.7387,0,0,0.0453,0.3827,6.7592
EXP5,Light,NaOH,5-OH-D0-2,0,284.196,2097.592842,115.0508592,2787.97,18,0,8.551,2.8,107.3,107.7062298,1595.7,498.2,3.7,184.4,11.5,0,0,7.37,7.69,109.9,0.016,1.03E-01,4.4525,4.4681,8.5539,6.2332,0.152,5.2751,0.6466,0,0,0.0241,0.3579,4.5591
EXP5,Light,NaOH,5-OH-D0-3,0,281.382,2090.653393,114.5098243,2770.46,18,0,8.543,2.9,109.4,109.7487119,1597.1,489.8,3.7,182.5,11.3,0,0,7.382,7.56,112,0.016,1.08E-01,4.766,4.7826,10.6552,6.7368,0.1628,5.3328,0.6437,0,0,0.027,0.3545,4.88
EXP5,Light,NaOH,5-OH-D2-1,2,295.452,2081.187067,109.9314412,2759.07,18,0,8.543,2.9,108.8,109.1768002,1589.7,487.8,3.7,182.6,11.3,0,0,7.375,7.53,111.4,0.021,1.36E-01,6.5281,6.5509,22.285,10.5303,0.2234,6.1419,0.7219,0,0,0.0452,0.3746,6.6844
EXP5,Light,NaOH,5-OH-D2-2,2,291.231,2094.173775,107.0112478,2776.2,18,0,8.544,2.9,109.2,109.5528484,1598.8,491.7,3.7,182.8,11.3,0,0,7.382,7.59,111.8,0.021,1.36E-01,6.5818,6.6048,22.5783,10.6517,0.2252,6.1657,0.7251,0,0,0.0453,0.3778,6.7394
EXP5,Light,NaOH,5-OH-D2-3,2,nan,2084.066932,110.4565833,2777.47,18,0,8.556,2.8,105,105.3848689,1580.8,499.7,3.6,185.7,11.6,0,0,7.349,7.72,107.5,0.02,1.30E-01,6.2224,6.2441,21.9401,10.439,0.2129,6.147,0.739,0,0,0.042,0.3814,6.3713
EXP5,Light,NaOH,5-OH-D4-1,4,322.183,2038.274918,112.2061033,2779.6,18,0,8.607,2.5,88.8,89.15655684,1502,533.2,3,198.1,13.1,0,0,7.235,8.23,91,0.017,9.85E-02,4.2156,4.2303,13.8805,7.823,0.1441,5.7209,0.7629,0,0,0.0274,0.3882,4.3165
EXP5,Light,NaOH,5-OH-D4-2,4,312.335,2050.01051,107.3019117,2772.13,18,0,8.588,2.6,94.3,94.6560859,1527.4,519.4,3.2,193.5,12.5,0,0,7.269,8.02,96.6,0.016,9.63E-02,4.0451,4.0592,9.9908,6.6815,0.1381,5.4592,0.71,0,0,0.025,0.3739,4.1419
EXP5,Light,NaOH,5-OH-D4-3,4,332.031,2044.861601,122.4632845,2760.86,18,0,8.584,2.6,95.2,95.54191058,1527.2,514.4,3.3,192.5,12.4,0,0,7.272,7.94,97.5,0.015,9.24E-02,3.7567,3.7698,6.0301,5.7959,0.1282,5.2985,0.6884,0,0,0.0225,0.367,3.8466
EXP2,Light,Control,2-CON-D0-1,0,198.946,2077,0.22,2250.6,19,0,7.875,13.3,617.5,619.5943703,1924.9,131.5,20.6,60,2.7,0,0,12.487,2.08650291,633.1,0.015,0.468328939,24.78716356,24.87257711,6.199874328,3.292527138,0.822097223,2.22277,0.140437245,0,0,0.146823803,0.10484479,25.41281727
EXP2,Light,Control,2-CON-D0-2,0,206.11,2085,0.17,2245.9,19,0,7.846,14.3,664.8,667.1234287,1938.9,123.9,22.2,56.6,2.5,0,0,12.886,1.965914149,681.6,0.013,0.428688835,22.67871949,22.75686759,3.080417813,2.564427812,0.750770768,1.92077107,0.123412991,0,0,0.109767262,0.095021637,23.25115388
EXP2,Light,Control,2-CON-D0-3,0,205.033,2081,0.42,2247.2,19,0,7.858,13.9,644.1,646.364192,1932.5,127.1,21.5,58,2.6,0,0,12.715,2.016688364,660.4,0.013,0.425769981,22.47471947,22.55216462,3.482853594,2.676364611,0.744237557,1.985840437,0.127959949,0,0,0.11102847,0.097730256,23.04200469
EXP2,Light,Control,2-CON-D2-1,2,224.954,2068,0.58,2250.9,19,0,7.896,12.7,584.3,586.3312781,1911.5,137.1,19.5,62.5,2.8,0,0,12.199,2.175357787,599.1,0.024,0.707727194,37.33355538,37.46220226,13.84561949,6.064913369,1.24182247,3.261271319,0.190444643,0,0,0.292328756,0.133931964,38.27589302
EXP2,Light,Control,2-CON-D2-2,2,209.422,2075,0.43,2247.9,19,0,7.874,13.4,618.8,620.9324861,1923.3,131,20.6,59.8,2.7,0,0,12.501,2.078569439,634.4,0.018,0.554317621,29.3000892,29.40105374,8.636938347,4.114547643,0.973090972,2.491140258,0.151701213,0,0,0.198102886,0.111312363,30.03965382
EXP2,Light,Control,2-CON-D2-3,2,260.17,2023,0.84,2251.2,19,0,7.991,10.2,452.5,454.0283863,1843.3,164.6,15.1,75.2,3.5,0,0,10.954,2.611698699,463.9,0.015,0.355171514,18.12566705,18.18812589,6.289921128,3.691871033,0.601148223,2.658645643,0.182637634,0,0,0.106841727,0.128109612,18.58317768
EXP2,Light,Control,2-CON-D4-1,4,237.475,1997,1.12,2253.2,19,0,8.045,9,390.8,392.1797143,1801.9,182.1,13,83.2,3.9,0,0,10.32,2.889370189,400.7,0.015,0.304567477,15.26495253,15.31755369,6.185895991,3.668022261,0.506143559,2.826618599,0.203934823,0,0,0.083390934,0.138962975,15.65025575
EXP2,Light,Control,2-CON-D4-2,4,268.896,1991,1.19,2246.7,19,0,8.045,9,389.6,390.9879628,1796.5,181.6,13,83.2,3.9,0,0,10.312,2.881436718,399.5,0.019,0.394117048,19.9641365,20.03293048,11.58521151,5.466587008,0.663367272,3.385028677,0.231309948,0,0,0.159899185,0.152175437,20.468052
EXP2,Light,Control,2-CON-D4-3,4,265.23,2018,0.79,2251.7,19,0,8.002,10,439.4,440.946876,1835.3,168,14.6,76.8,3.6,0,0,10.823,2.665646303,450.5,0.016,0.36532692,18.63292273,18.69712952,7.482400776,4.059437726,0.618293111,2.801258405,0.191773319,0,0,0.12143385,0.132842787,19.10323702
EXP2,Light,HCO3,2-HCO3-D0-1,0,216.717,2574,93.82,2743.7,19,0,7.816,15.3,881.4,884.4221909,2401.2,143.4,29.4,53.4,2.3,0,0,13.94,2.330913151,903.6,0.013,0.455165143,29.53397346,29.63574394,3.249922613,2.688359407,0.97747331,1.872951383,0.115108259,0,0,0.125678846,0.108200319,30.27944157
EXP2,Light,HCO3,2-HCO3-D0-2,0,nan,2569,107.48,2728.2,19,0,7.796,16,925,928.1548028,2401.5,136.7,30.8,51.2,2.2,0,0,14.227,2.220391394,948.3,0.031,1.157126571,74.87057927,75.12857417,19.25566912,8.355592548,2.492188788,3.474905681,0.182497919,0,0,0.436686638,0.160661251,76.76039031
EXP2,Light,HCO3,2-HCO3-D0-3,0,219.321,2566,94.18,2733.8,19,0,7.813,15.4,885.2,888.2892851,2394.5,142,29.5,53,2.3,0,0,13.974,2.308291441,907.6,0.022,0.777537738,50.16673039,50.33959883,12.21077944,5.776696273,1.667834705,2.661293428,0.148184636,0,0,0.287314473,0.133355603,51.43299067
EXP2,Light,HCO3,2-HCO3-D2-1,2,256.852,2485,91.65,2713.6,19,0,7.935,11.6,638,640.2025503,2284.4,179.3,21.3,67.5,3.1,0,0,12.214,2.912853315,654.1,0.015,0.393918593,24.59178568,24.67652598,6.01377619,3.659823252,0.815284243,2.455697496,0.159007689,0,0,0.114025802,0.137134624,25.21250785
EXP2,Light,HCO3,2-HCO3-D2-2,2,232.355,2502,87.09,2711.6,19,0,7.9,12.6,700.6,703.0447322,2311.5,167.2,23.3,63,2.8,0,0,12.707,2.716170608,718.3,0.026,0.755865532,48.03082806,48.19633644,17.88427215,7.898278609,1.598041952,3.529785353,0.202169799,0,0,0.328791669,0.168882594,49.24317595
EXP2,Light,HCO3,2-HCO3-D2-3,2,234.089,2506,92.35,2719.3,19,0,7.906,12.4,691.1,693.4914408,2313.2,169.7,23,63.8,2.9,0,0,12.627,2.756675275,708.6,0.018,0.503453067,31.89207715,32.00197336,9.721214189,4.804662888,1.058980489,2.634811163,0.161608645,0,0,0.184185995,0.13967832,32.69706624
EXP2,Light,HCO3,2-HCO3-D4-1,4,274.439,2451,90.17,2717.3,19,0,8.001,10,534.4,536.2130518,2229.3,203.9,17.8,76.7,3.6,0,0,11.342,3.311965923,547.9,0.033,0.752964588,47.10661761,47.26894128,27.03947889,12.02050956,1.56830985,5.057245173,0.303428223,0,0,0.381238827,0.234155441,48.29563748
EXP2,Light,HCO3,2-HCO3-D4-2,4,261.548,2462,91.97,2722.7,19,0,7.991,10.2,550.5,552.4407143,2243.3,200.4,18.3,75.2,3.5,0,0,11.478,3.255334443,564.4,0.014,0.327951005,20.0854317,20.15464365,4.34107881,3.379939622,0.665481151,2.59762395,0.176896381,0,0,0.073198461,0.149037144,20.59240882
EXP2,Light,HCO3,2-HCO3-D4-3,4,274.117,2449,86.47,2715.9,19,0,8.003,9.9,532.4,534.1976795,2227,204.2,17.7,76.9,3.6,0,0,11.326,3.316871052,545.8,0.014,0.320864912,19.52078187,19.5880481,4.46498665,3.43851349,0.646811009,2.649884562,0.1819191,0,0,0.071395168,0.151867643,20.01350664
EXP4,Light,Control,4-CON-D0-1,0,260.549,2096.073136,216.1015359,2239.8,19,0,7.805,15.7,737.5,740.0577899,1957.6,113.9,24.6,52.2,2.3,0,0,13.457,2.72,756.1,0.022,0.787570223,41.61738755,41.760796,10.02131789,4.756257078,1.383576146,2.57511447,0.144769641,0,0,0.278995239,0.16850946,42.66785355
EXP4,Light,Control,4-CON-D0-2,0,268.821,2085.325308,229.8500863,2244.8,19,0,7.843,14.4,670.2,672.4940283,1939.9,123.1,22.3,56.3,2.5,0,0,12.931,2.94,687.1,0.019,0.635878528,33.68143423,33.79749635,9.120668802,4.298878335,1.11903497,2.48566412,0.146449261,0,0,0.228162684,0.169199706,34.53158854
EXP4,Light,Control,4-CON-D0-3,0,257.792,2081.844959,232.4950073,2234,19,0,7.826,14.9,696,698.4053458,1940.1,118.5,23.2,54.4,2.4,0,0,13.146,2.83,713.6,0.019,0.642746153,33.95959841,34.07661905,8.497561592,4.057787359,1.128065873,2.368125776,0.138961905,0,0,0.224039007,0.161767401,34.81677388
EXP4,Light,Control,4-CON-D2-1,2,288.121,2066.262388,226.22457,2232.4,19,0,7.86,13.8,637.2,639.4073255,1918.4,126.6,21.2,58.2,2.6,0,0,12.672,3.03,653.3,0.028,0.893577201,47.00067485,47.16263345,15.78962171,6.745271792,1.564117414,3.491248042,0.194677621,0,0,0.363449318,0.212376483,48.18702061
EXP4,Light,Control,4-CON-D2-2,2,314.314,2045.559183,240.4073398,2245.61,19,0,7.934,11.6,526.7,528.5393928,1880.8,147.2,17.6,67.4,3,0,0,11.679,3.52,540,0.023,0.615566321,31.62519561,31.73417218,11.78980008,6.191013127,1.05168223,3.321044649,0.200891111,0,0,0.256288798,0.218500113,32.42344833
EXP4,Light,Control,4-CON-D2-3,2,288.121,2065.504049,224.7178549,2246.3,19,0,7.892,12.8,589.5,591.573194,1910.2,135.7,19.6,62,2.8,0,0,12.249,3.24,604.4,0.022,0.661962901,34.85167462,34.97176925,12.35507909,5.510752485,1.158899047,3.04120808,0.179504843,0,0,0.265647118,0.198245387,35.73136702
EXP4,Light,Control,4-CON-D4-1,4,377.728,2013.416634,227.755831,2246.95,19,0,8.002,9.9,438.1,439.5744264,1831.1,167.8,14.6,76.8,3.6,0,0,10.812,4.01,449.1,0.061,1.400797936,73.02451668,73.27615027,46.82707633,19.01280993,2.432925861,9.035247339,0.521618516,0,0,0.726575039,0.489884611,74.86773119
EXP4,Light,Control,4-CON-D4-2,4,370.835,2031.570866,222.36901,2232.64,19,0,7.938,11.5,518.2,520.035331,1866.9,147.4,17.3,67.9,3.1,0,0,11.611,3.52,531.3,0.055,1.466464716,76.58056063,76.84444791,37.95590114,15.45165938,2.551208252,7.406916993,0.408956476,0,0,0.708656871,0.402807651,78.51353337
EXP4,Light,Control,4-CON-D4-3,4,390.135,2004.727605,224.7685992,2243.52,19,0,8.013,9.7,424.7,426.1424893,1819.7,170.9,14.2,78.4,3.7,0,0,10.678,4.08,435.4,0.051,1.130555547,58.7022534,58.90453422,38.87941728,15.8571152,1.955511009,7.64810849,0.449702444,0,0,0.585641204,0.422404892,60.18395913
EXP4,Light,HCO3,4-HCO3-D0-1,0,256.414,2526.386323,201.1041644,2676.49,19,0,7.78,16.6,944,947.3004823,2365.1,129.9,31.5,49.6,2.1,0,0,14.392,3.1,967.9,0.02,0.773801725,49.21517238,49.38476187,10.47572539,4.886333689,1.635483378,2.355932507,0.130686253,0,0,0.267261907,0.183735946,50.45741435
EXP4,Light,HCO3,4-HCO3-D0-2,0,267.442,2531.266953,183.1736873,2678.39,19,0,7.773,16.9,961.3,964.6599752,2371,128.2,32,48.9,2.1,0,0,14.492,3.06,985.6,0.022,0.862831359,54.93580326,55.12510535,11.87143579,5.405231605,1.826459208,2.501826337,0.136125225,0,0,0.29921248,0.190493575,56.32243988
EXP4,Light,HCO3,4-HCO3-D0-3,0,271.578,2526.423101,191.1388779,2682.95,19,0,7.794,16.1,913.8,916.9900078,2362.1,133.8,30.5,51,2.2,0,0,14.203,3.2,936.9,0.025,0.90968474,57.9886854,58.18850735,14.18433206,6.23714028,1.928821678,2.809238355,0.152203002,0,0,0.332332418,0.208770296,59.45237993
EXP4,Light,HCO3,4-HCO3-D2-1,2,301.907,2485.5216,183.4912236,2668.59,19,0,7.851,14.1,782.8,785.4523612,2310,149.4,26.1,57.2,2.5,0,0,13.353,3.57,802.5,0.02,0.637480768,40.07643831,40.21453683,10.96923752,5.154627255,1.33165202,2.60177097,0.151259409,0,0,0.238272993,0.204484936,41.08800916
